1816.HK,1133.HK,0914.HK,2600.HK,0358.HK,0390.HK,1186.HK,1800.HK,0688.HK,3333.HK,0960.HK,1813.HK,3900.HK,2007.HK,3383.HK,0315.HK,0762.HK,0728.HK,3618.HK,1288.HK,0998.HK,3328.HK,1988.HK,3988.HK,0939.HK,1398.HK,3968.HK,2318.HK,1336.HK,1339.HK,2601.HK,2328.HK,0966.HK,2628.HK,1299.HK,0257.HK,0371.HK,
12.98420968,14.04759953,14.92010617,172.8386736,44.29090642,11.31118891,9.542671462,9.951855055,6.216955232,33.93625219,7.617581123,4.452842059,9.48957766,12.57471395,10.08596162,14.87242461,211.459351,15.13192271,5.547803591,5.615485771,5.168970572,5.941272309,5.174707984,6.227826362,6.021425656,5.857881112,7.09549199,10.71420776,21.50363317,8.468620239,19.14191664,9.12628448,15.42571801,30.95929064,19.96237825,16.93523721,16.43276627,
12.8134932,14.66167045,15.05116097,410.3344129,124.5170566,11.07240921,9.626652977,10.18973098,5.917589776,36.86230641,7.818003594,4.399806785,25.30414714,13.07943607,10.29934419,13.91731478,346.0620807,15.16587224,5.638948065,5.614556406,4.995622575,5.810080524,5.504211992,6.07679889,5.937615706,5.685027444,7.302581852,10.64451092,19.64664317,8.113702387,18.63534781,8.496109941,14.71009192,29.7041831,18.45008516,16.61327452,18.53058944,
13.42613727,15.05090079,15.54966004,394.2736658,128.2704947,11.37420405,9.78819072,10.32381931,6.047361482,33.81351687,8.055140007,4.626429193,26.01415855,13.15238481,10.57859726,13.86273707,361.1276341,15.60967052,5.630724471,5.712979356,5.108132982,5.831181855,5.645179584,6.128669566,6.016767028,5.75598771,7.498740648,10.73730001,19.25410425,8.27288241,18.12974696,8.634343938,19.88986071,30.17365619,18.48883544,17.25719989,19.52385387,
13.40265298,30.09483664,21.15787637,413.4977742,132.2901016,11.79894476,10.18069403,10.62803228,5.956521288,33.77104911,7.898239827,4.329261673,25.64136505,12.60450699,10.16796074,13.86273707,372.8724071,15.48709607,5.820603389,5.742638396,5.170665522,5.815515522,5.672511995,6.176347549,6.002159149,5.758169757,7.46182437,10.88988007,19.54042907,8.344691915,18.36478705,8.698569302,20.10582011,30.90142569,18.42816952,16.93523721,19.43073533,
13.51558308,27.84564814,20.04313556,385.1206635,124.5544226,11.48900548,10.05683883,10.19278879,5.761863729,29.40069237,7.480843483,4.221183245,24.67811337,14.23974818,9.751812499,13.6717151,55.58155105,13.09575512,5.624222355,5.744612495,5.178103976,5.928872823,5.762757759,6.065893004,6.006672242,5.824315712,7.479937935,11.0279804,19.73253565,8.376269813,17.90487624,8.706323031,20.32177951,31.21838601,18.18082944,16.8386484,17.87875966,
14.08204287,25.30322254,21.0350532,389.2660764,129.9377213,12.53340133,10.77119806,10.62308567,6.164156017,27.07950358,8.068095698,4.597147031,29.62069947,14.528366,23.31632329,13.41492745,55.91535879,12.92602663,5.711267433,5.76201347,5.26983398,5.979358562,5.958564823,6.161630012,6.142665757,5.917428326,7.68193684,11.11932528,19.79051931,8.560375064,18.19639797,9.057286588,20.73210236,31.42211498,18.60117852,20.83822035,18.09603625,
13.56550422,24.3925514,21.48879187,408.9219583,136.1727936,12.01260931,10.49701137,10.08108742,6.46263094,26.72229853,7.790483156,4.048640738,26.5432793,13.35178926,21.2347426,13.32139708,55.250435,13.17880665,6.02132904,5.830253478,5.358697147,6.098555764,6.125510676,6.261798698,6.212135775,5.937888686,7.854630909,10.94148674,20.87598295,8.720520505,18.89999234,9.292841739,21.59593996,46.26809174,29.32908036,21.46375792,18.34435236,
13.28720755,22.46591594,19.8188019,401.9320443,128.1556564,11.80074822,10.24386888,9.710869595,6.24201904,25.7880212,7.546178084,3.726261432,25.44697361,13.13114126,19.40156383,13.38820448,51.24399805,12.41985924,5.765145605,5.622706969,5.219109306,5.854151437,5.883517237,5.964053801,5.837832152,5.652037047,7.583096468,10.55051296,20.50795037,8.200998762,18.20116177,8.858066925,19.93305259,43.3269245,29.61172129,20.64273985,17.10277183,
13.49684503,23.68501856,19.87069512,419.7339437,134.1924093,11.75316093,10.19473408,9.960119278,6.047361482,23.46337594,7.219974133,3.608925059,23.37589386,11.43994604,16.18581178,13.46837337,49.94868404,12.47396875,5.758094448,5.631921228,5.283304483,5.955269039,5.938983498,5.972517989,5.92706717,5.668118626,7.573821837,10.47405283,20.18872739,8.269226055,18.14689543,8.67232881,19.86826477,43.18166428,28.85123913,20.56454766,17.35108794,
13.44017125,23.58556424,20.31795002,396.7186781,135.8903428,11.29112175,9.987891284,9.416809453,6.254996211,24.3027085,7.37670517,3.848329823,23.41094351,11.63602161,15.89309607,14.00283263,51.2332507,12.93915632,5.862287238,5.752485294,5.441845166,6.126304372,6.122042384,6.229903281,6.151702206,5.884745312,7.614713222,10.6705711,20.82290348,8.364385006,18.64436879,8.708484062,20.01943635,44.74608319,28.71217594,19.33302057,17.63044356,
